id,v1,v2,type,direction,distance
89,127,128,strefa ruchu uspokojonego 20 i 30 km/h,2,177.899225702
90,129,130,strefa ruchu uspokojonego 20 i 30 km/h,2,145.18618678200002
91,131,132,strefa ruchu uspokojonego 20 i 30 km/h,2,63.0612552108
92,132,129,strefa ruchu uspokojonego 20 i 30 km/h,2,86.03083193200001
93,133,134,strefa ruchu uspokojonego 20 i 30 km/h,2,155.040078117
94,135,133,strefa ruchu uspokojonego 20 i 30 km/h,2,140.13055075399998
95,136,137,droga dla rowerow,2,73.61643360779999
96,138,139,strefa ruchu uspokojonego 20 i 30 km/h,2,76.0756365002
97,140,141,strefa ruchu uspokojonego 20 i 30 km/h,2,75.3107503443
98,140,142,strefa ruchu uspokojonego 20 i 30 km/h,2,62.4992272644
99,143,140,strefa ruchu uspokojonego 20 i 30 km/h,2,41.2902479199
100,141,143,strefa ruchu uspokojonego 20 i 30 km/h,2,138.587883998
101,144,145,strefa ruchu uspokojonego 20 i 30 km/h,2,71.89012591939999
102,146,147,strefa ruchu uspokojonego 20 i 30 km/h,2,83.5593115214
103,148,149,lacznik drogowy,2,191.660585538
104,150,151,lacznik drogowy,1,93.41630365200001
105,151,152,lacznik drogowy,1,53.0555693746
106,150,153,pas ruchu dla rowerow,1,71.4009360099
107,154,155,lacznik drogowy,2,244.93549017599997
108,149,151,lacznik drogowy,2,145.393722368
109,156,155,droga dla rowerow,1,9.41413543667
110,157,154,lacznik drogowy,2,181.78503036799998
111,158,159,lacznik drogowy,2,86.6561162022
112,158,160,droga dla rowerow,2,7.734135050539999
113,161,162,droga dla rowerow,2,7.17587925553
114,163,164,lacznik drogowy,2,50.941255864
115,165,166,pas ruchu dla rowerow,1,15.183583972200001
116,167,168,droga dla rowerow,2,24.2215521792
117,169,170,lacznik drogowy,2,111.549108609
118,171,172,strefa ruchu uspokojonego 20 i 30 km/h,2,46.0592313984
119,173,174,strefa ruchu uspokojonego 20 i 30 km/h,2,42.7457828996
120,175,176,strefa ruchu uspokojonego 20 i 30 km/h,2,34.1371820288
121,177,178,droga dla rowerow,2,2.9461216760299997
122,179,180,droga dla rowerow,2,5.7731547889499994
123,181,182,droga dla rowerow,2,2.4453422357599996
124,183,184,droga dla rowerow,2,3.40823429359
125,185,186,pas BUS + ROWER,1,7.048990865
126,187,188,lacznik drogowy,2,62.0549479568
127,188,189,lacznik drogowy,1,15.093425462799999
128,190,188,lacznik drogowy,1,13.2731912259
129,188,191,lacznik drogowy,2,71.7495100012
130,192,193,lacznik drogowy,2,84.9451419144
131,194,192,lacznik drogowy,1,2.57328825047
132,195,196,droga dla rowerow,1,2.4650067444099997
133,197,198,droga dla rowerow,1,15.635746947000001
134,199,200,droga dla rowerow,1,4.54759128199
135,201,202,droga dla rowerow,1,5.4175361863100004
136,203,204,trasa na walach,2,582.791965301
137,205,203,trasa na walach,0,522.652639774
138,203,206,trasa na walach,0,83.5420424707
139,207,208,lacznik drogowy,2,4.29637814444
140,209,210,trasa na walach,2,2142.79948483
141,211,212,droga dla rowerow,1,19.3584520814
142,213,214,droga dla rowerow,1,51.814282148800004
143,215,213,lacznik drogowy,2,211.066552359
144,216,217,lacznik drogowy,2,99.22205300879999
145,218,219,droga dla pieszych i rowerow,2,114.637823249
146,219,220,droga dla pieszych i rowerow,2,63.8306449939
147,220,221,droga dla pieszych i rowerow,2,9.61813056627
148,221,222,droga dla pieszych i rowerow,2,134.89398027299998
149,219,223,droga dla pieszych i rowerow,2,5.38119517467
150,224,223,droga dla pieszych i rowerow,2,81.6935305339
151,225,226,droga dla pieszych i rowerow,2,63.8307661741
152,227,228,droga dla pieszych i rowerow,2,3.1375605749799997
153,229,227,droga dla pieszych i rowerow,2,97.171824511
154,225,230,droga dla pieszych i rowerow,2,43.6151903152
155,231,232,droga dla pieszych i rowerow,2,85.0670002741
156,233,227,droga dla pieszych i rowerow,2,6.134510614450001
157,221,234,droga dla pieszych i rowerow,2,48.958241236300005
158,235,236,lacznik drogowy,2,269.162152714
159,237,238,lacznik drogowy,2,119.142112813
160,239,240,lacznik drogowy,2,41.6740015432
161,236,237,lacznik drogowy,2,225.79324427400002
162,238,239,lacznik drogowy,2,24.1532543803
163,240,241,lacznik drogowy,2,12.295888133800002
164,242,243,lacznik drogowy,2,268.417213149
165,244,245,lacznik drogowy,2,66.0832770409
166,246,244,lacznik drogowy,2,67.2638473788
167,243,246,lacznik drogowy,1,14.761753452999999
168,247,248,strefa ruchu uspokojonego 20 i 30 km/h,2,53.8866668104
169,249,247,strefa ruchu uspokojonego 20 i 30 km/h,2,21.5506032539
170,249,250,strefa ruchu uspokojonego 20 i 30 km/h,2,47.3102856294
171,251,252,strefa ruchu uspokojonego 20 i 30 km/h,2,200.306690204
172,253,251,strefa ruchu uspokojonego 20 i 30 km/h,2,47.548442836499994
173,253,254,strefa ruchu uspokojonego 20 i 30 km/h,2,39.7362939148
174,255,253,strefa ruchu uspokojonego 20 i 30 km/h,2,59.9967169956
175,256,257,strefa ruchu uspokojonego 20 i 30 km/h,2,173.343577309
176,258,259,strefa ruchu uspokojonego 20 i 30 km/h,2,100.564298041
177,259,260,strefa ruchu uspokojonego 20 i 30 km/h,2,228.86803062
178,261,262,strefa ruchu uspokojonego 20 i 30 km/h,2,208.94297933400003
179,263,264,strefa ruchu uspokojonego 20 i 30 km/h,2,113.85399022
180,265,263,strefa ruchu uspokojonego 20 i 30 km/h,2,136.569860086
181,266,267,strefa ruchu uspokojonego 20 i 30 km/h,2,21.555887425700003
182,268,266,strefa ruchu uspokojonego 20 i 30 km/h,2,126.275501949
183,269,270,strefa ruchu uspokojonego 20 i 30 km/h,2,31.0225776652
184,271,266,strefa ruchu uspokojonego 20 i 30 km/h,2,14.8853795993
185,270,271,strefa ruchu uspokojonego 20 i 30 km/h,2,35.0236663297
186,271,270,strefa ruchu uspokojonego 20 i 30 km/h,2,62.9066879709
187,272,273,strefa ruchu uspokojonego 20 i 30 km/h,2,136.915796307
188,274,275,strefa ruchu uspokojonego 20 i 30 km/h,2,60.357505367399995
189,276,277,strefa ruchu uspokojonego 20 i 30 km/h,2,58.745628222
190,278,35,strefa ruchu uspokojonego 20 i 30 km/h,2,61.215326920600006
191,278,276,strefa ruchu uspokojonego 20 i 30 km/h,2,20.0686287524
192,279,278,strefa ruchu uspokojonego 20 i 30 km/h,2,46.7058970391
193,34,279,strefa ruchu uspokojonego 20 i 30 km/h,2,56.320080483999995
194,280,281,droga dla rowerow,2,4.01163535855
195,282,283,droga dla rowerow,2,72.59847363729999
196,284,10,strefa ruchu uspokojonego 20 i 30 km/h,2,174.240542938
197,285,286,strefa ruchu uspokojonego 20 i 30 km/h,2,85.5382337838
198,287,288,strefa ruchu uspokojonego 20 i 30 km/h,1,49.5093529234
199,289,290,strefa ruchu uspokojonego 20 i 30 km/h,2,166.03214069700002
200,288,291,strefa ruchu uspokojonego 20 i 30 km/h,1,173.859809128
201,292,289,strefa ruchu uspokojonego 20 i 30 km/h,2,111.46561192
202,293,294,droga dla rowerow,2,1.5349146067500001
203,295,296,droga dla rowerow,2,29.309280802399996
204,297,298,strefa ruchu uspokojonego 20 i 30 km/h,2,179.394932407
205,299,298,strefa ruchu uspokojonego 20 i 30 km/h,2,40.4170670211
206,297,300,strefa ruchu uspokojonego 20 i 30 km/h,2,21.747019347
207,301,302,strefa ruchu uspokojonego 20 i 30 km/h,2,218.166395153
208,303,304,strefa ruchu uspokojonego 20 i 30 km/h,2,45.1764663956
209,305,303,strefa ruchu uspokojonego 20 i 30 km/h,2,185.353315335
210,306,305,strefa ruchu uspokojonego 20 i 30 km/h,2,112.57573972
211,307,308,strefa ruchu uspokojonego 20 i 30 km/h,2,207.50746136900003
212,66,309,strefa ruchu uspokojonego 20 i 30 km/h,2,146.673569498
213,310,311,strefa ruchu uspokojonego 20 i 30 km/h,2,185.755814965
214,312,313,strefa ruchu uspokojonego 20 i 30 km/h,2,169.515985201
215,314,315,strefa ruchu uspokojonego 20 i 30 km/h,2,123.28559070700001
216,316,314,strefa ruchu uspokojonego 20 i 30 km/h,2,88.6952439442
217,317,318,strefa ruchu uspokojonego 20 i 30 km/h,2,228.553802009
218,319,320,strefa ruchu uspokojonego 20 i 30 km/h,2,259.882191993
219,321,322,strefa ruchu uspokojonego 20 i 30 km/h,2,262.475067959
220,323,321,strefa ruchu uspokojonego 20 i 30 km/h,2,235.252941772
221,324,325,strefa ruchu uspokojonego 20 i 30 km/h,2,300.10491483
222,326,327,strefa ruchu uspokojonego 20 i 30 km/h,2,172.304524636
223,328,329,strefa ruchu uspokojonego 20 i 30 km/h,2,109.85767937899999
224,326,330,strefa ruchu uspokojonego 20 i 30 km/h,2,133.060281571
225,331,332,strefa ruchu uspokojonego 20 i 30 km/h,2,120.834248523
226,328,333,strefa ruchu uspokojonego 20 i 30 km/h,2,43.4277425874
227,329,332,strefa ruchu uspokojonego 20 i 30 km/h,2,120.18018075200001
228,334,335,strefa ruchu uspokojonego 20 i 30 km/h,2,115.59836300799999
229,330,331,strefa ruchu uspokojonego 20 i 30 km/h,2,118.219039844
230,336,337,strefa ruchu uspokojonego 20 i 30 km/h,2,78.8139161891
231,337,333,strefa ruchu uspokojonego 20 i 30 km/h,2,47.9362007433
232,338,339,droga dla rowerow,2,6.9701065589999995
233,340,341,strefa ruchu uspokojonego 20 i 30 km/h,2,248.634796983
234,342,343,kontraruch,2,101.90373399299999
235,344,345,mozliwosc przejazdu,2,34.3158297729
236,345,346,mozliwosc przejazdu,2,31.250721429899997
237,347,348,strefa ruchu uspokojonego 20 i 30 km/h,2,83.5267736507
238,349,344,strefa ruchu uspokojonego 20 i 30 km/h,2,98.35285632440001
239,350,351,kontrapas,1,86.7213633139
240,352,353,strefa ruchu uspokojonego 20 i 30 km/h,2,170.374074817
241,353,354,strefa ruchu uspokojonego 20 i 30 km/h,2,93.9733996225
242,355,356,strefa ruchu uspokojonego 20 i 30 km/h,2,33.473442011100005
243,357,358,strefa ruchu uspokojonego 20 i 30 km/h,2,85.6650762599
244,359,102,droga dla rowerow,1,12.9462744297
245,360,361,strefa ruchu uspokojonego 20 i 30 km/h,2,0.0975008205094
246,362,363,lacznik drogowy,1,13.2984623725
247,364,365,pas ruchu dla rowerow,1,108.67283697200001
248,366,367,lacznik drogowy,1,38.8750785236
249,366,368,lacznik drogowy,1,54.4494521528
250,369,370,lacznik drogowy,1,25.165748216999997
251,369,363,pas ruchu dla rowerow,1,35.5165946833
252,371,365,droga dla rowerow,2,7.909658360510001
253,365,372,lacznik drogowy,2,10.6163460796
254,373,365,lacznik drogowy,1,13.7709882847
255,365,362,pas ruchu dla rowerow,1,101.58138177100001
256,374,375,pas ruchu dla rowerow,1,16.127901084
257,376,375,lacznik drogowy,1,8.08715127117
258,375,364,pas ruchu dla rowerow,1,5.51250613725
259,377,378,kontraruch,2,139.813651824
260,379,380,kontraruch,2,91.8511713295
261,381,382,kontraruch,2,15.5723136978
262,383,384,strefa ruchu uspokojonego 20 i 30 km/h,2,306.709087843
263,385,386,strefa ruchu uspokojonego 20 i 30 km/h,2,81.12633117760001
264,386,387,strefa ruchu uspokojonego 20 i 30 km/h,2,217.653983235
265,388,389,pas ruchu dla rowerow,1,30.635288012600004
266,390,391,lacznik drogowy,1,21.7986654543
267,391,392,pas ruchu dla rowerow,1,4.90776303931
268,390,393,pas ruchu dla rowerow,1,3.21811654543
269,394,395,lacznik drogowy,1,88.2297288901
270,396,397,pas ruchu dla rowerow,1,22.338469373800002
271,398,399,pas ruchu dla rowerow,1,71.1813558389
272,343,350,kontraruch,2,1.67025065484
273,346,351,strefa ruchu uspokojonego 20 i 30 km/h,2,8.546096773710001
274,400,396,pas ruchu dla rowerow,1,54.0290328842
275,401,402,strefa ruchu uspokojonego 20 i 30 km/h,2,7.19299244612
276,186,403,pas ruchu dla rowerow,1,21.5494730135
277,404,405,droga dla rowerow,2,3.31409882924
278,405,406,droga dla rowerow,2,20.8434316289
279,407,390,pas ruchu dla rowerow,1,242.68832238
280,408,409,droga dla pieszych i rowerow,2,7.52558130977
281,410,411,droga dla pieszych i rowerow,2,26.6667281083
282,412,413,droga dla pieszych i rowerow,2,7.54681497123
283,414,415,lacznik drogowy,1,56.1096311005
284,415,416,lacznik drogowy,1,63.4312745414
285,416,417,strefa ruchu uspokojonego 20 i 30 km/h,2,5.7611005893
286,418,419,lacznik drogowy,1,69.8848762785
287,419,418,lacznik drogowy,1,72.46561278680001
288,420,419,lacznik drogowy,1,0.0276842915748
289,421,422,trasa przez park,2,134.046960997
290,421,423,trasa przez park,2,214.67166241299998
291,424,425,strefa ruchu uspokojonego 20 i 30 km/h,2,40.1883996837
292,425,424,strefa ruchu uspokojonego 20 i 30 km/h,2,160.439757875
293,425,426,strefa ruchu uspokojonego 20 i 30 km/h,2,44.961902150600004
294,427,428,strefa ruchu uspokojonego 20 i 30 km/h,2,75.4281238587
295,429,430,strefa ruchu uspokojonego 20 i 30 km/h,2,47.2476404489
296,431,432,strefa ruchu uspokojonego 20 i 30 km/h,2,95.4521914861
297,432,433,strefa ruchu uspokojonego 20 i 30 km/h,2,230.81383649
298,434,435,strefa ruchu uspokojonego 20 i 30 km/h,2,73.9253208031
299,436,437,strefa ruchu uspokojonego 20 i 30 km/h,2,113.925507237
300,438,439,strefa ruchu uspokojonego 20 i 30 km/h,2,40.3003896758
301,439,440,droga dla rowerow,2,30.6106733765
302,440,441,droga dla rowerow,2,2.0820067435
303,442,443,droga dla rowerow,2,89.6430379247
304,444,445,droga dla rowerow,2,13.4807690285
305,446,444,kontrapas,1,28.9709531787
306,447,448,pas ruchu dla rowerow,1,101.627293781
307,449,450,pas ruchu dla rowerow,1,71.83416682229999
308,451,452,lacznik drogowy,1,4.79468196338
309,453,451,lacznik drogowy,1,5.09037079691
310,454,455,lacznik drogowy,1,4.7641158781
311,456,454,lacznik drogowy,1,5.812208933790001
312,457,458,strefa ruchu uspokojonego 20 i 30 km/h,2,3.3661770972400005
313,245,459,strefa ruchu uspokojonego 20 i 30 km/h,2,7.62175418982
314,460,461,strefa ruchu uspokojonego 20 i 30 km/h,2,28.2216926604
315,462,463,lacznik drogowy,1,48.788429622299994
316,464,465,mozliwosc przejazdu,2,23.898143851799997
317,466,467,strefa ruchu uspokojonego 20 i 30 km/h,2,141.28680826
318,468,469,droga dla rowerow,2,99.84840712450001
319,470,471,droga dla rowerow,2,519.139698599
320,471,472,droga dla rowerow,2,150.64164947
321,473,474,strefa ruchu uspokojonego 20 i 30 km/h,2,231.041476114
322,475,473,strefa ruchu uspokojonego 20 i 30 km/h,2,118.137983423
323,476,475,strefa ruchu uspokojonego 20 i 30 km/h,2,16.158989038599998
324,477,476,strefa ruchu uspokojonego 20 i 30 km/h,2,106.080371392
325,478,479,strefa ruchu uspokojonego 20 i 30 km/h,2,111.031745269
326,480,481,strefa ruchu uspokojonego 20 i 30 km/h,2,227.87080508
327,482,483,strefa ruchu uspokojonego 20 i 30 km/h,2,131.7484136
328,484,485,kontraruch,2,91.1438067702
329,486,487,kontraruch,2,71.8988152797
330,488,489,kontraruch,2,69.7493411132
331,490,491,lacznik drogowy,1,15.100126865
332,491,243,lacznik drogowy,1,12.836162961300001
333,492,493,droga dla pieszych i rowerow,2,94.47653760520001
334,494,495,droga dla pieszych i rowerow,2,248.431827735
335,496,494,droga dla pieszych i rowerow,2,45.0706976676
336,496,497,droga dla pieszych i rowerow,2,110.567419718
337,495,498,droga dla pieszych i rowerow,2,150.271469589
338,499,500,droga dla pieszych i rowerow,2,203.234778393
339,501,502,droga dla pieszych i rowerow,2,40.1086567781
340,500,503,droga dla pieszych i rowerow,2,39.711629861700004
341,504,505,droga dla rowerow,2,4.32774115908
342,506,503,droga dla pieszych i rowerow,2,213.273205517
343,507,496,droga dla pieszych i rowerow,2,420.346436896
344,508,509,droga dla pieszych i rowerow,2,202.501652145
345,510,511,droga dla pieszych i rowerow,2,197.810910664
346,512,507,droga dla pieszych i rowerow,2,94.62085623959999
347,513,503,droga dla pieszych i rowerow,2,35.185591080100004
348,514,513,droga dla pieszych i rowerow,2,16.1007999891
349,515,516,droga dla pieszych i rowerow,2,99.83010952219999
350,517,518,droga dla pieszych i rowerow,2,227.506753502
351,519,520,strefa ruchu uspokojonego 20 i 30 km/h,2,134.072657445
352,520,521,strefa ruchu uspokojonego 20 i 30 km/h,2,82.6180551341
353,522,523,strefa ruchu uspokojonego 20 i 30 km/h,2,66.0359164627
354,524,523,kontraruch,2,97.0830747634
355,525,526,strefa ruchu uspokojonego 20 i 30 km/h,2,68.48908648300001
356,525,527,strefa ruchu uspokojonego 20 i 30 km/h,2,58.9525729074
357,528,529,strefa ruchu uspokojonego 20 i 30 km/h,2,80.75257046680001
358,530,531,strefa ruchu uspokojonego 20 i 30 km/h,1,117.187929592
359,532,533,strefa ruchu uspokojonego 20 i 30 km/h,2,192.50069748299998
360,531,534,strefa ruchu uspokojonego 20 i 30 km/h,1,29.115831606100002
361,535,536,strefa ruchu uspokojonego 20 i 30 km/h,2,30.9359617643
362,535,533,strefa ruchu uspokojonego 20 i 30 km/h,2,157.558421651
363,537,538,strefa ruchu uspokojonego 20 i 30 km/h,2,90.7312934687
364,538,539,strefa ruchu uspokojonego 20 i 30 km/h,2,32.3483646953
365,540,541,strefa ruchu uspokojonego 20 i 30 km/h,2,89.5398944269
366,527,542,strefa ruchu uspokojonego 20 i 30 km/h,2,183.822433607
367,543,544,droga dla rowerow,2,18.5808233086
368,545,546,droga dla rowerow,2,3.46723429575
369,547,548,strefa ruchu uspokojonego 20 i 30 km/h,2,82.0363836314
370,549,550,strefa ruchu uspokojonego 20 i 30 km/h,2,70.5856949968
371,551,552,strefa ruchu uspokojonego 20 i 30 km/h,2,70.97466438
372,550,553,strefa ruchu uspokojonego 20 i 30 km/h,2,104.902859028
373,553,554,strefa ruchu uspokojonego 20 i 30 km/h,2,62.891641323
374,275,555,strefa ruchu uspokojonego 20 i 30 km/h,2,96.0796175319
375,556,557,strefa ruchu uspokojonego 20 i 30 km/h,2,97.7701559841
376,558,559,strefa ruchu uspokojonego 20 i 30 km/h,2,315.020343572
377,560,561,strefa ruchu uspokojonego 20 i 30 km/h,2,55.5244814446
378,562,563,strefa ruchu uspokojonego 20 i 30 km/h,2,162.670530097
379,564,565,kontraruch,2,81.8361091995
