TYP;KIERUNEK;SHAPE_LEN;vertex_pos;vertex_index;vertex_part;vertex_part_index;distance;angle;xcoord;ycoord;
strefa ruchu uspokojonego 20 i 30 km/h;2;48.2019261026;0;0;0;0;0;73.00111343475757;17.027513031104828;51.11707433851328;
strefa ruchu uspokojonego 20 i 30 km/h;2;48.2019261026;-1;2;0;2;48.20192610255873;73.00106378408984;17.02816864763905;51.11720647187502;
lacznik drogowy;2;86.784893717;0;0;0;0;0;193.17122694780804;16.890172417810593;51.14476065027005;
lacznik drogowy;2;86.784893717;-1;3;0;3;86.78489371738546;193.1800439880742;16.88990808499722;51.1439984923632;
strefa ruchu uspokojonego 20 i 30 km/h;2;61.9601384133;0;0;0;0;0;288.05779767442425;17.01470328959525;51.08202978292468;
strefa ruchu uspokojonego 20 i 30 km/h;2;61.9601384133;-1;2;0;2;61.96013841411564;288.06225592705977;17.013859036313324;51.082195357159655;
strefa ruchu uspokojonego 20 i 30 km/h;2;275.529727649;0;0;0;0;0;164.87978078635524;16.964239688168494;51.106733146613045;
strefa ruchu uspokojonego 20 i 30 km/h;2;275.529727649;-1;9;0;9;275.52972764930706;161.3276365021885;16.965522089976766;51.10439201953303;
strefa ruchu uspokojonego 20 i 30 km/h;2;257.899985018;0;0;0;0;0;176.60382803548256;16.962898105607206;51.11143356667532;
strefa ruchu uspokojonego 20 i 30 km/h;2;257.899985018;-1;9;0;9;257.8999850176491;171.62689558849723;16.963316303802586;51.10913142619378;
strefa ruchu uspokojonego 20 i 30 km/h;2;274.736943534;0;0;0;0;0;170.2851119251234;16.963316303802586;51.10913142619378;
strefa ruchu uspokojonego 20 i 30 km/h;2;274.736943534;-1;9;0;9;274.73694353341335;160.975340119911;16.964239688168494;51.106733146613045;
strefa ruchu uspokojonego 20 i 30 km/h;2;315.097836925;0;0;0;0;0;67.49122319556949;16.949872135962092;51.09268669217498;
strefa ruchu uspokojonego 20 i 30 km/h;2;315.097836925;-1;12;0;12;315.09783692515015;66.45533180619026;16.95398361649768;51.093818198865506;
strefa ruchu uspokojonego 20 i 30 km/h;2;105.327243551;0;0;0;0;0;81.40979857816922;17.110618405055714;51.09850194951621;
strefa ruchu uspokojonego 20 i 30 km/h;2;105.327243551;-1;4;0;4;105.32724355068909;81.17651338310053;17.112101992587874;51.09865616135202;
strefa ruchu uspokojonego 20 i 30 km/h;2;105.299056298;0;0;0;0;0;84.13869730322766;17.109130351441415;51.09836816326543;
strefa ruchu uspokojonego 20 i 30 km/h;2;105.299056298;-1;7;0;7;105.2990562982539;81.61987659356545;17.110618405055714;51.09850194951621;
strefa ruchu uspokojonego 20 i 30 km/h;2;106.358460014;0;0;0;0;0;263.2407263545731;17.109130351441415;51.09836816326543;
strefa ruchu uspokojonego 20 i 30 km/h;2;106.358460014;-1;5;0;5;106.35846001368216;264.0215893658674;17.107622934396954;51.09825354704344;
strefa ruchu uspokojonego 20 i 30 km/h;2;106.531847336;0;0;0;0;0;87.64990198621001;17.106110882471594;51.098154589876074;
strefa ruchu uspokojonego 20 i 30 km/h;2;106.531847336;-1;5;0;5;106.53184733579938;83.4115523661143;17.107622934396954;51.09825354704344;
strefa ruchu uspokojonego 20 i 30 km/h;2;107.067275209;0;0;0;0;0;268.6369398971156;17.106110882471594;51.098154589876074;
strefa ruchu uspokojonego 20 i 30 km/h;2;107.067275209;-1;8;0;8;107.06727520941453;281.46210165545466;17.104591052114685;51.09822803844682;
strefa ruchu uspokojonego 20 i 30 km/h;2;91.6958123536;0;0;0;0;0;105.50158392535722;17.10332220882684;51.09842991312461;
strefa ruchu uspokojonego 20 i 30 km/h;2;91.6958123536;-1;5;0;5;91.69581235327033;102.33628802744433;17.104591052114685;51.09822803844682;
strefa ruchu uspokojonego 20 i 30 km/h;2;77.7969518893;0;0;0;0;0;285.5238061908193;17.10332220882684;51.09842991312461;
strefa ruchu uspokojonego 20 i 30 km/h;2;77.7969518893;-1;3;0;3;77.7969518892409;285.5212279539694;17.102248540249196;51.09860884791623;
strefa ruchu uspokojonego 20 i 30 km/h;2;109.751525017;0;0;0;0;0;105.84535194599204;17.100736148239488;51.098866654812504;
strefa ruchu uspokojonego 20 i 30 km/h;2;109.751525017;-1;3;0;3;109.75152501636629;105.84863669084633;17.102248540249196;51.09860884791623;
strefa ruchu uspokojonego 20 i 30 km/h;2;107.629122168;0;0;0;0;0;103.67757866242354;17.099248737659043;51.09910910047968;
strefa ruchu uspokojonego 20 i 30 km/h;2;107.629122168;-1;5;0;5;107.62912216856161;105.64366847034577;17.100736148239488;51.098866654812504;
strefa ruchu uspokojonego 20 i 30 km/h;2;81.4871008416;0;0;0;0;0;282.26780610118504;17.099248737659043;51.09910910047968;
strefa ruchu uspokojonego 20 i 30 km/h;2;81.4871008416;-1;6;0;6;81.48710084112469;278.8636001728174;17.09810186774263;51.09923068145135;
strefa ruchu uspokojonego 20 i 30 km/h;2;22.5154237417;0;0;0;0;0;276.0766423085093;17.09810186774263;51.09923068145135;
strefa ruchu uspokojonego 20 i 30 km/h;2;22.5154237417;-1;3;0;3;22.51542374210989;276.12972743169206;17.09778185415686;51.09924971575808;
strefa ruchu uspokojonego 20 i 30 km/h;2;49.1923277794;0;0;0;0;0;147.20007040550425;17.11491423788579;51.09949508556341;
strefa ruchu uspokojonego 20 i 30 km/h;2;49.1923277794;-1;4;0;4;49.19232777932039;149.60666817079067;17.115276292579594;51.09911627734214;
strefa ruchu uspokojonego 20 i 30 km/h;2;48.4799320863;0;0;0;0;0;153.7595098627278;17.115456476285527;51.09965030539841;
strefa ruchu uspokojonego 20 i 30 km/h;2;48.4799320863;-1;3;0;3;48.479932085275664;151.73357645958487;17.115789037281903;51.09926815305576;
strefa ruchu uspokojonego 20 i 30 km/h;2;43.9711662605;0;0;0;0;0;152.01249240885417;17.115969838301897;51.09982255554212;
strefa ruchu uspokojonego 20 i 30 km/h;2;43.9711662605;-1;3;0;3;43.971166260234654;151.59397700982967;17.116274443832083;51.09947694920757;
strefa ruchu uspokojonego 20 i 30 km/h;2;54.0954444959;0;0;0;0;0;150.73148987376157;17.116458066765933;51.09999750816092;
strefa ruchu uspokojonego 20 i 30 km/h;2;54.0954444959;-1;2;0;2;54.09544449570656;150.7373287522503;17.116843638473238;51.09957618092929;
strefa ruchu uspokojonego 20 i 30 km/h;2;84.0052459868;0;0;0;0;0;94.0225562659373;17.064932366557;51.05367984830197;
strefa ruchu uspokojonego 20 i 30 km/h;2;84.0052459868;-1;1;0;1;84.00524598664887;94.0225562659373;17.06612849203109;51.05363643596076;
strefa ruchu uspokojonego 20 i 30 km/h;2;77.7444677538;0;0;0;0;0;171.3619444392493;17.064932366557;51.05367984830197;
strefa ruchu uspokojonego 20 i 30 km/h;2;77.7444677538;-1;1;0;1;77.74446775249999;171.3619444392493;17.065112799767448;51.05299031517047;
strefa ruchu uspokojonego 20 i 30 km/h;2;36.6370346686;0;0;0;0;0;86.76760956013955;17.050484062633977;51.085844677011366;
strefa ruchu uspokojonego 20 i 30 km/h;2;36.6370346686;-1;5;0;5;36.637034668545205;83.4291398504392;17.051003101593817;51.08588359187278;
strefa ruchu uspokojonego 20 i 30 km/h;2;47.6202353215;0;0;0;0;0;319.3037313006794;17.050484062633977;51.085844677011366;
strefa ruchu uspokojonego 20 i 30 km/h;2;47.6202353215;-1;9;0;9;47.620235321405175;326.91479991570503;17.05019975201407;51.086227262395816;
strefa ruchu uspokojonego 20 i 30 km/h;2;35.0529841774;0;0;0;0;0;150.8093978950086;17.049952802544233;51.086501276191996;
strefa ruchu uspokojonego 20 i 30 km/h;2;35.0529841774;-1;4;0;4;35.052984177222186;151.90658170296498;17.05019975201407;51.086227262395816;
strefa ruchu uspokojonego 20 i 30 km/h;2;93.0353223673;0;0;0;0;0;243.76025481851923;17.05019975201407;51.086227262395816;
strefa ruchu uspokojonego 20 i 30 km/h;2;93.0353223673;-1;19;0;19;93.03532236804287;93.68518498867118;17.050484062633977;51.085844677011366;
strefa ruchu uspokojonego 20 i 30 km/h;2;110.98151094;0;0;0;0;0;95.5095704357256;17.04939018060259;51.08559058359503;
strefa ruchu uspokojonego 20 i 30 km/h;2;110.98151094;-1;13;0;13;110.98151094017324;351.2562633717929;17.050484062633977;51.085844677011366;
strefa ruchu uspokojonego 20 i 30 km/h;2;82.9373447389;0;0;0;0;0;182.82336683938098;17.04943831390133;51.086335476798716;
strefa ruchu uspokojonego 20 i 30 km/h;2;82.9373447389;-1;4;0;4;82.93734473869695;183.5017812940188;17.04939018060259;51.08559058359503;
strefa ruchu uspokojonego 20 i 30 km/h;2;56.4033518061;0;0;0;0;0;183.49099030963532;17.04939018060259;51.08559058359503;
strefa ruchu uspokojonego 20 i 30 km/h;2;56.4033518061;-1;3;0;3;56.40335180681098;180.75283997721118;17.049354632913474;51.085084113789954;
strefa ruchu uspokojonego 20 i 30 km/h;2;159.701828423;0;0;0;0;0;89.95259690241532;17.02837017691263;51.11933455777815;
strefa ruchu uspokojonego 20 i 30 km/h;2;159.701828423;-1;5;0;5;159.7018284236849;80.32818596538935;17.03062047490034;51.11955893613522;
strefa ruchu uspokojonego 20 i 30 km/h;2;62.010876491;0;0;0;0;0;108.64830933456453;16.85764703169095;51.153588780772054;
strefa ruchu uspokojonego 20 i 30 km/h;2;62.010876491;-1;4;0;4;62.010876490462685;106.72361028377227;16.858487908285586;51.15341297961626;
strefa ruchu uspokojonego 20 i 30 km/h;2;145.749376862;0;0;0;0;0;108.78026309859479;16.861599524954926;51.15276632583763;
strefa ruchu uspokojonego 20 i 30 km/h;2;145.749376862;-1;5;0;5;145.74937686205493;109.36166785701738;16.863579940861353;51.15236010069834;
strefa ruchu uspokojonego 20 i 30 km/h;2;56.5775225089;0;0;0;0;0;109.11291421450493;16.860830842742825;51.15292417181305;
strefa ruchu uspokojonego 20 i 30 km/h;2;56.5775225089;-1;4;0;4;56.57752250833679;108.19691840605472;16.861599524954926;51.15276632583763;
strefa ruchu uspokojonego 20 i 30 km/h;2;69.7383718387;0;0;0;0;0;110.8080897092948;17.132206788228263;51.16394305044797;
strefa ruchu uspokojonego 20 i 30 km/h;2;69.7383718387;-1;6;0;6;69.73837183917244;100.77489118233282;17.133182320031587;51.16381754349244;
strefa ruchu uspokojonego 20 i 30 km/h;2;98.1970640297;0;0;0;0;0;91.20941767645337;17.127780889327504;51.163904568707714;
strefa ruchu uspokojonego 20 i 30 km/h;2;98.1970640297;-1;5;0;5;98.19706402924848;83.17600264795999;17.129180676310902;51.16394842079351;
strefa ruchu uspokojonego 20 i 30 km/h;2;140.347416352;0;0;0;0;0;99.49527957644946;17.12578348202069;51.16384146527499;
strefa ruchu uspokojonego 20 i 30 km/h;2;140.347416352;-1;9;0;9;140.3474163523361;89.71140147738576;17.127780889327504;51.163904568707714;
strefa ruchu uspokojonego 20 i 30 km/h;2;118.73828431;0;0;0;0;0;83.78703689345863;17.130519966622074;51.164046633807295;
strefa ruchu uspokojonego 20 i 30 km/h;2;118.73828431;-1;10;0;10;118.73828431040596;110.5820439201621;17.13218371933345;51.163906103014945;
strefa ruchu uspokojonego 20 i 30 km/h;2;38.3702604994;0;0;0;0;0;84.7326615340342;17.129180676310902;51.16394842079351;
